CustomerClass,ProductCode,ProductName,IsAllowed
1KRO,5185B_UOMPK,SK-30 (AFC-30) Set PK,Yes
1KRO,5185S_UOMCS16,AFC-30 Sakura Body 16/50pc/cs,Yes
1KRO,5185S_UOMPK,AFC-30 Sakura Body 16/50pc/cs,Yes
1KRO,5186_UOMCS16,AFC-30 Clear Body,No
1KRO,5186_UOMPK,AFC-30 Clear Body,No
1KRO,5190_UOMCS16,AFC-30 Lid Pack,Yes
1KRO,5190_UOMPK,AFC-30 Lid Pack,Yes
1KRO,5191_UOMCS16,AFC-30 Compostable Body,No
1KRO,5191_UOMPK,AFC-30 Compostable Body,No
1KRO,5192_UOMCS16,AFC-30 Compostable Lid,No
1KRO,5192_UOMPK,AFC-30 Compostable Lid,No
1KRO,5195_UOMCS16,AFC-40 Blue Body Pack,Yes
1KRO,5195_UOMPK,AFC-40 Blue Body Pack,Yes
1KRO,5195A_UOMCS,SK-40 Blue Set CS 6/50pc/set/CS,Yes
1KRO,5195B_UOMPK,SK-40 (AFC-40) Set PK,Yes
1KRO,5195S_UOMCS16,AFC-40 Sakura Body 16/50pc/cs,Yes
1KRO,5195S_UOMPK,AFC-40 Sakura Body 16/50pc/cs,Yes
1KRO,5196_UOMCS16,AFC-40 Clear Body,No
1KRO,5196_UOMPK,AFC-40 Clear Body,No
1KRO,5199_UOMCS16,AFC-40 Lid Pack,Yes
1KRO,5199_UOMPK,AFC-40 Lid Pack,Yes
1KRO,5201_UOMCS16,AFC-40 Compostable Body,No
1KRO,5201_UOMPK,AFC-40 Compostable Body,No
1KRO,5202_UOMCS16,AFC-40 Compostable Lid,No
1KRO,5202_UOMPK,AFC-40 Compostable Lid,No
1KRO,5205_UOMCS16,ST-201 Blue Body,No
1KRO,5205_UOMPK,ST-201 Blue Body,No
1KRO,5210_UOMCS16,ST-201 Lid Pk,No
1KRO,5210_UOMPK,ST-201 Lid Pk,No
1KRO,5220_UOMCS16,ST-202 Lid  PACK,No
1KRO,5220_UOMPK,ST-202 Lid  PACK,No
1KRO,5225_UOMCS16,ST-218 MANYO BODY,No
1KRO,5225_UOMPK,ST-218 MANYO BODY,No
1KRO,5240_UOMCS16,ST-202 Manyo Body,No
1KRO,5240_UOMPK,ST-202 Manyo Body,No
1KRO,5251_UOMCS24,ST-4 Lid Pack  50,No
1KRO,5251_UOMPK,ST-4 Lid Pack  50,No
1KRO,5255_UOMCS24,ST-4 Manyo Body,No
1KRO,5255_UOMPK,ST-4 Manyo Body,No
1KRO,5276_UOMCS24,ST-5 Manyo Body,No
1KRO,5276_UOMPK,ST-5 Manyo Body,No
1KRO,5281_UOMSET,MH-15  (AFC-5)  100pc/pk,Yes
1KRO,5284_UOMSET,MH-06 (20)  Tray Set,Yes
1KRO,5288_UOMCS4,TTM 24 oz Lid 100pc/pk (AFC4),Yes
1KRO,5290_UOMCS6,53205L-1 Lid 100pc/pk (AFC30),Yes
1KRO,5300_UOMCS,32oz Bowl 300pc. Sabert,Yes
1KRO,5301_UOMCS,32oz Bowl Lid 300pc. Sabert,Yes
1KRO,5302_UOMCS,32oz Bowl 150pc.Anchor 150pc,Yes
1KRO,5303_UOMCS,32oz Bowl Lid. 150pc. Anchor 150pc,Yes
1KRO,5305_UOMCS,BO-SC-U24 Bowl 24oz 500pc WC,No
1KRO,5306_UOMCS,BOL-CS-24 Bowl Lid 24oz 300pc WC,No
1KRO,5307_UOMCS,BG-ST-4 Compostable Body 800pc,No
1KRO,5308_UOMCS,BG-ST-4 Compostable Lid 800pc,No
1KRO,5309_UOMCS,32oz Bowl Body Stalk L014 500pc,No
1KRO,5310_UOMCS,32oz Lid Table ware DL32 200pc,No
1KRO,5311_UOMCS,24oz Bowl BG-BO24R1 500pc,No
1KRO,5312_UOMCS,24oz Lid BG-Bo24 PL 500pc,No
1KRO,5313_UOMCS,White Diamond Ramen Bowl,No
1KRO,5314_UOMCS,EP-SH2 5X7 BLK SUSHI TRAY 600PC,No
1KRO,5315_UOMCS,EP-SH3 6X9 BLK SUSHI TRAY 600PC,No
1KRO,5316_UOMCS,Anchor M612 Base,No
1KRO,5317_UOMCS,Anchor LH600 Lid,No
1KRO,5320_UOMCS,Don-S Bowl 50pcs/16pks,No
1KRO,5321_UOMCS,Don-S Lid 50pcs/16pks,No
1KRO,5324_UOMCS,Sabert B300N Base HT 300pc/cs,No
1KRO,5325_UOMCS,Sabert B300N Lid HT300pc/cs,No
1KRO,5410_UOMCS24,BF-18 Salad Cont Body50pc/24/CS,Yes
1KRO,5410_UOMPK,BF-18 Salad Cont Body50pc/24/CS,Yes
1KRO,5411_UOMCS24,BF-18 Salad Tray Lid 50pc/24/cs,Yes
1KRO,5411_UOMPK,BF-18 Salad Tray Lid 50pc/24/cs,Yes
1KRO,5412_UOMCS24,AFC-18 White Body,Yes
1KRO,5412_UOMPK,AFC-18 White Body,Yes
1KRO,5416_UOMCS24,AFC-18 Lid  50 pcs,Yes
