Item No,Item Description,Category,UOM,UOM Qty,Cost,Ext. Cost,Price,Ext. Price,Type,Status
6900,Super Freezer,EACH,EACH,1,1175.00000,1175.00000,1435.00000,1435.00000,Discontinued,Inactive
6968,Tablet. Aus. Label Machine,EACH,EACH,1,750.00000,750.00000,761.25000,761.25000,Sales Inventory,Active
6969,Printer. Australia,EACH,EACH,1,312.64000,312.64000,342.06000,342.06000,Sales Inventory,Active
7006,P Cari Label Cand,ROLL,ROLL,1,0.00000,0.00000,8.25000,8.25000,Sales Inventory,Active
7007,P Wasa Label Cand,ROLL,ROLL,1,0.00000,0.00000,8.25000,8.25000,Sales Inventory,Active
7008,P Spicy Sauce Can,ROLL,ROLL,1,0.00000,0.00000,8.25000,8.25000,Sales Inventory,Active
7009,P Gari Weg,ROLL,ROLL,1,7.99000,7.99000,9.00000,9.00000,Sales Inventory,Active
7010,P Wasabi Weg,ROLL,ROLL,1,7.99000,7.99000,9.00000,9.00000,Sales Inventory,Active
7011,Spy Sauce Label Weg,ROLL,ROLL,1,7.99000,7.99000,8.79000,8.79000,Sales Inventory,Active
7012,Vege Gyoza Bar Code,ROLL,ROLL,1,5.00000,5.00000,7.87000,7.87000,Sales Inventory,Active
7099,KARAAGE BATTER,PK,PK,1,6.75000,6.75000,7.50000,7.50000,Sales Inventory,Active
7120,Label Prem Tuna,ROLL,ROLL,1,4.80000,4.80000,5.50000,5.50000,Sales Inventory,Active
7121,Label Aramark,ROLL,ROLL,1,0.00000,0.00000,7.50000,7.50000,Sales Inventory,Active
7131,Label Blue Crab,ROLL,ROLL,1,3.40000,3.40000,7.50000,7.50000,Discontinued,Active
7132,P. Teriyaki 250,ROLL,ROLL,1,5.15000,5.15000,8.37000,8.37000,Sales Inventory,Active
7133,Thermo Dierberg,ROLL,ROLL,1,0.00000,0.00000,7.50000,7.50000,Discontinued,Inactive
7139,New Nutri Broch,ROLL,ROLL,1,10.00000,10.00000,15.00000,15.00000,Sales Inventory,Active
7143,Lab Can Nut Fac,ROLL,ROLL,1,0.00000,0.00000,11.17000,11.17000,Sales Inventory,Active
7144,P Spicy Oishisa L 200,ROLL,ROLL,1,7.00000,7.00000,8.25000,8.25000,Sales Inventory,Active
7149,P Label Avery,ROLL,ROLL,1,0.00000,0.00000,0.35000,0.35000,Sales Inventory,Active
7150,P LA Wasa Sauce,ROLL,ROLL,1,0.00000,0.00000,10.00000,10.00000,Sales Inventory,Active
7151,Label Swt Chili,ROLL,ROLL,1,6.00000,6.00000,10.15000,10.15000,Sales Inventory,Active
7156,THERMO PF SUSHI,ROLL,ROLL,1,6.06000,6.06000,7.50000,7.50000,Sales Inventory,Active
7158,Lab Bar Code,ROLL,ROLL,1,0.00000,0.00000,0.36000,0.36000,Sales Inventory,Active
7161,P LA Konomi 1000,EACH,EACH,1,0.00000,0.00000,7.50000,7.50000,Sales Inventory,Active
7167,Label Kowalski,ROLL,ROLL,1,0.00000,0.00000,25.00000,25.00000,Sales Inventory,Active
7170,P.LA GOMA RETAIL LABEL,EACH,EACH,1,37.50000,37.50000,0.00000,0.00000,Sales Inventory,Active
7183,Label Grill Gyoza,ROLL,ROLL,1,2.03000,2.03000,5.92000,5.92000,Sales Inventory,Active
720,LATE ORDER,EACH,EACH,1,0.00000,0.00000,50.00000,50.00000,Sales Inventory,Active
7219,Attach Board Set,SET,SET,1,0.00000,0.00000,16.24000,16.24000,Sales Inventory,Active
7225,THERMO SUSHI ICHI DIRECT,ROLL,ROLL,1,6.23000,6.23000,7.50000,7.50000,Sales Inventory,Active
7226,Thermo Fortino Brown,ROLL,ROLL,1,5.90000,5.90000,7.50000,7.50000,Sales Inventory,Active
7227,Thermo Fortino Blue,ROLL,ROLL,1,5.96000,5.96000,7.50000,7.50000,Sales Inventory,Active
7228,THERMO LABEL BIG Y 001,ROLL,ROLL,1,6.09000,6.09000,7.61000,7.61000,Sales Inventory,Active
7235,Clear Wasabi Dressing Sticker,ROLL,ROLL,1,0.00000,0.00000,10.15000,10.15000,Discontinued,Active
7238,Clear Brown Rice Sticker,ROLL,ROLL,1,6.96000,6.96000,10.00000,10.00000,Sales Inventory,Inactive
7239,Clear Chef Special Dressing Sticker,ROLL,ROLL,1,6.96000,6.96000,10.15000,10.15000,Sales Inventory,Active
7242,Clear Spicy Sauce Sticker,ROLL,ROLL,1,9.00000,9.00000,17.76000,17.76000,Sales Inventory,Inactive
7243,Clear Pickled Ginger Sticker,ROLL,ROLL,1,15.45000,15.45000,17.76000,17.76000,Sales Inventory,Active
7303,Label Heart Cake,EACH,EACH,1,0.00000,0.00000,6.00000,6.00000,Sales Inventory,Active
7332,AOS Madison Label Thermo,PK,PK,1,26.00000,26.00000,0.00000,0.00000,Sales Inventory,Active
7545,Retail Rice. Microwavable,CS,CS,1,13.56000,13.56000,6.84000,6.84000,Sales Inventory,Active
7546,Use 7545,BOT,CS12,12,1.15000,13.80000,6.84000,82.08000,Sales Inventory,Active
7546,Use 7545,BOT,BOT,1,1.15000,1.15000,2.30000,2.30000,Sales Inventory,Active
8000,Poster Frame Ikea,EACH,EACH,1,1.35000,1.35000,1.37000,1.37000,Sales Inventory,Active
8001,Poster "Try Me",EACH,EACH,1,5.00000,5.00000,12.18000,12.18000,Discontinued,Active
8002,Blender,EACH,EACH,1,30.00000,30.00000,35.53000,35.53000,Sales Inventory,Active
8082,Soup Base Tonkotsu Yama 10/cs,BOT,CS10,10,15.70000,157.00000,170.52000,1705.20000,Sales Inventory,Active
8082,Soup Base Tonkotsu Yama 10/cs,BOT,BOT,1,15.70000,15.70000,17.05000,17.05000,Sales Inventory,Active
8083,Soup Base Miso Yamachan 12/cs,BOT,BOT,1,11.10000,11.10000,12.06000,12.06000,Sales Inventory,Active
8083,Soup Base Miso Yamachan 12/cs,BOT,CS12,12,11.10000,133.20000,144.70000,1736.40000,Sales Inventory,Active
8101,HOT BOWL NET,CS,CS,1,200.00000,200.00000,223.30000,223.30000,Sales Inventory,Active
8102,Cleaning Pen,EACH,EACH,1,1.09000,1.09000,3.92000,3.92000,Sales Inventory,Active
8104,Calendar Set,EACH,EACH,1,0.00000,0.00000,0.01000,0.01000,Sales Inventory,Active
8106,Katsuramaki Ki,EACH,EACH,1,50.00000,50.00000,50.00000,50.00000,Discontinued,Inactive
8108,Chochin (Lantern) Small,EACH,EACH,1,10.19000,10.19000,15.00000,15.00000,Discontinued,Inactive
8110,Demo Tablecloth,EACH,EACH,1,12.50000,12.50000,13.50000,13.50000,Discontinued,Inactive
8112,Scrub,EACH,EACH,1,0.46000,0.46000,0.41000,0.41000,Sales Inventory,Active
8114,Brush,EACH,EACH,1,8.90000,8.90000,9.54000,9.54000,Sales Inventory,Active
8116,Sanitizer,EACH,EACH,1,0.00000,0.00000,19.95000,19.95000,Sales Inventory,Active
8118,Spray Bottle,EACH,EACH,1,2.66000,2.66000,4.06000,4.06000,Sales Inventory,Active
8121,Torch. Iwatani,EACH,EACH,1,23.90000,23.90000,35.53000,35.53000,Sales Inventory,Active
8122,Makisu 27cm,EACH,EACH,1,1.16000,1.16000,4.40000,4.40000,Sales Inventory,Active
8124,Makisu (S),EACH,EACH,1,0.94000,0.94000,1.54000,1.54000,Sales Inventory,Active
8126,Plastic Makisu,EACH,EACH,1,0.00000,0.00000,8.60000,8.60000,Discontinued,Inactive
