ProductCode,ProductName,Price,UOM,IsActive
2925_UOMCS12,Fzn AFC Sesame Sauce 12/kg Otafuku,45.0000,CS12,no
2925_UOMPK,Fzn AFC Sesame Sauce 12/kg Otafuku,3.7500,PK,no
2930_UOMCS,Fzn  Yakisoba w/sauce 10/2.2lbs Otafuku,42.8000,CS,no
2999_UOMCS,Waygu,113.3000,CS,no
3205_UOMEACH,Ginger A 20LB,39.6000,EACH,yes
3210_UOMEACH,Ginger B 20LB,39.6000,EACH,yes
3215_UOMCS16,Wasabi 2.2lb,101.8200,CS16,yes
3215_UOMPK,Wasabi 2.2lb,6.3600,PK,yes
3216_UOMCS6,Curry Sauce  Canned 6/6.4lbs,108.0000,CS6,no
3216_UOMEACH,Curry Sauce  Canned 6/6.4lbs,18.0000,EACH,no
3219_UOMCS,Toasted Dry Seaweed 40pks,498.0000,CS,no
3220_UOMBAG,Seaweed Nori 200 1/2SH,12.6400,BAG,yes
3220_UOMCS40,Seaweed Nori 200 1/2SH,505.4700,CS40,yes
3225_UOMCS,To Go Soy Sauce 500PC,9.2500,CS,no
3235_UOMCS,Soy Sauce L/S 1000 pc,16.5400,CS,yes
3236_UOMCS,Wild Blue Soy Sauce L/S 1000pc,22.2100,CS,yes
3238_UOMCS,Soy Sauce Packet  (Hello Kitty) CS,16.3000,CS,no
3240_UOMCS,Soy Sauce Special IZU,15.4000,CS,no
3243_UOMCS,Soy Sauce Gluten Free 200pc,3.7000,CS,no
3245_UOMBAG,PREMIUM RICE 40 lbs,19.1300,BAG,yes
3246_UOMBAG,AFC Brown Rice  40#,20.4400,BAG,yes
3247_UOMBAG,Brown Rice. Mitsuhikari 10 kg,5.0000,BAG,no
3250_UOMBAG,Brown Rice 50 lbs,25.1800,BAG,no
3253_UOMBAG,SPECIAL Military Brown Rice,30.4500,BAG,yes
3254_UOMBAG,Black Glutinous Rice  10x5lbs,8.7600,BAG,no
3254_UOMCS,Black Glutinous Rice  10x5lbs,76.4500,CS,no
3255_UOMEACH,Quinoa. Red 25lbs,103.5200,EACH,no
3256_UOMCS,Vinegar  H-100 Natural 5.28gal,32.0600,CS,yes
